i,b,g,u,e,p,f,d,c,n
379034,Gorton's of Gloucester,044400138604,g,232.0,9.82,9.82,0.9,25.0,HADDOCK BREADED FISH STICKS
379035,Pinnacle Foods Group LLC,014500015815,g,134.0,5.86,1.88,7.1,22.18,SOUTHWEST STYLE PROTEIN BLEND
379036,Gorton's of Gloucester,044400138406,g,243.0,10.81,11.71,0.9,22.52,BREADED TILAPIA FISH FILLETS
379037,The Fresh Ice Cream Company LLC,815116011631,g,255.0,3.77,15.09,1.9,25.47,"STEVE'S, ICE CREAM, BLACK BERRY CRUMBLE"
379038,Pinnacle Foods Group LLC,014500015709,g,102.0,2.27,2.27,2.3,17.05,BARBECUE SWEET CORN
379039,Gorton's of Gloucester,044400138000,g,234.0,9.01,11.71,0.9,22.52,FLOUNDER FISH FILLETS
379040,Gorton's of Gloucester,044400138208,g,236.0,9.43,12.26,0.9,22.64,BREADED HADDOCK FISH FILLETS
379041,Pinnacle Foods Group LLC,014500015747,g,61.0,2.44,1.83,2.4,6.1,RANCH BROCCOLI
379042,"Cowrind Studios, Inc.",713757583015,g,250.0,46.43,0.0,0.0,10.71,TURKEY JERKY
379043,"Basic American Foods, Inc.",011140106385,g,370.0,11.11,5.56,3.7,70.37,SUPREME BAKED MASHED POTATOES
379044,"Basic American Foods, Inc.",011140106361,g,370.0,7.41,9.26,3.7,66.67,COUNTRY BUTTERED MASHED POTATOES
379045,"Cowrind Studios, Inc.",713757582919,g,250.0,42.86,0.0,0.0,10.71,TURKEY JERKY
379046,"Theo Chocolate, Inc.",874492003579,g,488.0,4.65,32.56,7.0,58.14,"THEO, ORGANIC & FAIR TRADE, DARK CHOCOLATE, CRANBERRY ORANGE"
379047,Sky Valley Foods Inc.,896859000144,g,222.0,5.56,11.11,0.0,27.78,THAI PEANUT SAUCE
379048,"Bob's Red Mill Natural Foods, Inc.",039978008176,g,333.0,0.0,0.0,0.0,100.0,ORGANIC COCONUT SUGAR
379049,Beaver Street Fisheries,075391032374,g,135.0,11.35,7.8,2.1,3.55,TILAPIA FLORENTINE
379050,Beaver Street Fisheries,075391032381,g,85.0,7.8,4.26,1.4,2.84,"SEA BEST, SPINACH & ARTICHOKE FLOUNDER"
379051,Sky Valley Foods Inc.,896859000120,g,129.0,2.86,0.0,0.0,28.57,KOREAN BBQ SAUCE
379052,"UTZ Quality Foods, Inc.",041780013576,g,500.0,7.14,28.57,7.1,60.71,"UTZ, BLUE CORN TORTILLAS"
379053,"Boar's Head Provision Co., Inc.",042421500721,g,357.0,21.43,28.57,0.0,3.57,"BOAR'S HEAD, CHIPOTLE GOUDA CHEESE"
379054,"Ahold USA, Inc.",688267152740,g,292.0,20.83,20.83,0.0,4.17,"AHOLD, STRING CHEESE TWISTS"
379055,The Endangered Species Chocolate Co,037014000160,g,581.0,9.3,39.53,11.6,48.84,"ENDANGERED SPECIES CHOCOLATE, DARK CHOCOLATE WITH PUMPKIN SPICE & ALMONDS"
379056,"Ahold Usa, Inc.",688267152399,g,400.0,12.73,7.27,9.1,72.73,GRANOLA
379057,"Boar's Head Provision Co., Inc.",042421500714,g,357.0,21.43,28.57,0.0,3.57,"BOAR'S HEAD, PEPPER COLBY JACK CHEESE, SPICY"
379058,"Ahold Usa, Inc.",688267152375,g,450.0,11.67,15.0,6.7,66.67,ORGANIC HEMP AND FLAX GRANOLA
379059,"Ahold USA, Inc.",688267152757,g,214.0,28.57,8.93,0.0,3.57,"AHOLD, STRING CHEESE"
379060,The Endangered Species Chocolate Co,037014246001,g,512.0,6.98,41.86,9.3,46.51,DARK CHOCOLATE WITH PEPPERMINT CRUNCH
379061,"Ahold Usa, Inc.",688267152382,g,460.0,12.0,20.0,8.0,62.0,ORGANIC FRUIT AND NUT GRANOLA
379062,The Endangered Species Chocolate Co,037014000481,g,558.0,4.65,34.88,9.3,55.81,"ENDANGERED SPECIES, NATURAL DARK CHOCOLATE WITH CRANBERRIES ORANGE & CINNAMON NATURAL FLAVOR"
379063,Friendly Ice Cream Corp.,029839403516,g,261.0,4.2,13.45,0.8,32.77,ICE CREAM
379064,Friendly Ice Cream Corp.,029839404360,g,235.0,2.94,8.09,0.7,38.97,SUNDAE ICE CREAM
379065,Friendly Ice Cream Corp.,029839403509,g,244.0,3.25,10.57,0.8,34.96,SUNDAE ICE CREAM
379066,Friendly Ice Cream Corp.,029839403462,g,246.0,4.24,11.86,0.0,32.2,SUNDAE CUPS ICE CREAM
379067,"Bumble Bee Foods, LLC",086600777160,g,121.0,19.83,3.88,0.0,0.86,"BUMBLE BEE, SUPER FRESH, SALMON WITH GARLICKY BLACK PEPPER & EXTRA VIRGIN OIL"
379068,Graze LLC,852035004016,g,413.0,14.29,15.08,6.3,58.73,SUPERFOOD ENERGIZER
379069,"Bumble Bee Foods, LLC",086600777054,g,111.0,19.66,2.99,0.0,0.85,"TILAPIA WITH LEMON, PEPPER & HERBS"
379070,"Bumble Bee Foods, LLC",086600777047,g,103.0,19.66,2.99,0.0,0.85,TILAPIA WITH GARLIC & EXTRA VIRGIN OLIVE OIL
379071,Blount Seafood Corporation,077958764131,g,114.0,2.86,8.98,0.2,4.9,LOBSTER BISQUE
379072,U.S. Gold,727908879193,g,239.0,3.54,14.16,0.9,24.78,"NASTO'S, ICE CREAM CAKE"
379073,"J.P. Veggies, Inc.",044325120050,g,127.0,19.72,1.41,4.2,14.08,FRESH VEGGIBURGER MEATLESS PATTIES
379074,"Ahold Usa, Inc.",688267157868,g,536.0,7.14,28.57,7.1,60.71,"GIANT, TORTILLA CHIPS, PUMPKIN SEEDS"
379076,Sargento Foods Inc,046100019986,g,394.0,24.24,33.33,0.0,0.0,"SARGENTO, TASTINGS, SMOKY CHIPOTLE CHEDDAR JACK CHEESE"
379077,"Ahold Usa, Inc.",688267023583,g,67.0,0.0,3.33,3.3,10.0,"GIANT, TACO SKILLET SAUCE, MILD"
379078,"Ahold Usa, Inc.",688267160103,g,290.0,6.45,4.84,3.2,51.61,WHITE BREAD
379079,Sargento Foods Inc,046100019887,g,364.0,24.24,30.3,0.0,3.03,"SARGENTO, TASTINGS, CREAMY MONTEREY JACK, GARLIC & HERB JACK"
379080,Sargento Foods Inc,046100400418,g,393.0,21.43,32.14,0.9,7.14,"SHREDDED CHEDDAR, COLBY & MONTEREY JACK NATURAL CHEESES"
379081,"Ahold Usa, Inc.",688267155963,g,49.0,0.41,1.63,0.4,8.16,SWEET POTATO AND PUMPKIN BISQUE
379082,"Ahold Usa, Inc.",688267158186,g,370.0,7.41,3.7,5.6,74.07,"GIANT, INSTANT OATMEAL PUMPKIN SPICE"
379083,"Ahold Usa, Inc.",688267155994,g,57.0,3.67,1.22,1.6,7.76,CHICKEN TORTILLA SOUP
379084,"Ahold Usa, Inc.",688267156021,g,45.0,0.82,1.43,0.8,6.53,TOMATO BASIL SOUP
379085,"Ahold USA, Inc.",688267155932,g,73.0,0.82,4.08,0.8,8.57,"AHOLD, GARDEN VEGETABLE BISQUE"
379086,"Ahold Usa, Inc.",688267156007,g,73.0,3.67,1.22,0.8,11.84,BEEF BARLEY SOUP
379088,"Ahold Usa, Inc.",688267155918,g,41.0,1.22,0.0,1.6,8.98,ORGANIC RUSTIC VEGETABLE SOUP
379089,"Ahold Usa, Inc.",688267156052,g,78.0,2.04,2.45,0.8,11.84,BAKED POTATO WITH BACON SOUP
379090,"Ahold Usa, Inc.",688267155031,g,195.0,2.65,18.58,1.8,5.31,ALFREDO SAUCE
379091,The Endangered Species Chocolate Co,037014000375,g,558.0,4.65,32.56,9.3,55.81,NATURAL DARK CHOCOLATE
379092,"Shwings and Things, Inc",850416004037,g,121.0,3.75,2.5,2.5,20.83,VEGGIE BURRITO BOWL
379093,"Shwings and Things, Inc",850416004020,g,175.0,6.25,7.5,0.8,20.42,CARNITAS BURRITO BOWL
379094,"Topo-Logic Systems, Inc.",696859319709,g,79.0,1.75,0.88,3.5,15.79,"HOLY - MOLE, MOLE SAUCE"
379095,Rich Products Corporation,041322168252,g,271.0,10.59,11.76,4.7,30.59,CLAM STRIPS
379096,"Weis Markets, Inc.",041497548132,g,500.0,3.57,21.43,3.6,64.29,"WEIS, VEGGIE STICKS"
379097,"Weis Markets, Inc.",041497004799,g,571.0,7.14,35.71,0.0,57.14,"WEIS, CRUNCHY CHEESE CURLS"
379098,"Weis Markets, Inc.",041497004300,g,393.0,7.14,3.57,3.6,78.57,CLASSIC MINI WHEELS PRETZELS
379099,"Weis Markets, Inc.",041497004782,g,571.0,7.14,35.71,3.6,57.14,"WEIS, WHITE CHEDDAR CURLS"
379100,"Weis Markets, Inc.",041497004317,g,393.0,10.71,3.57,3.6,75.0,SOURDOUGH SPECIALS PRETZELS
379101,House Of Tsang,075050448867,g,43.0,0.0,0.0,0.0,11.43,"HOUSE OF TSANG, DIPPING SAUCE,  GINGER SRIRACHA SAUCE"
379102,"Frontera Foods, Inc.",604183121400,g,33.0,0.0,0.0,3.3,6.67,GOURMET ENCHILADA SAUCE
379103,"UTZ Quality Foods, Inc.",041780000910,g,536.0,7.14,35.71,3.6,50.0,RIPPLES POTATO CHIPS
379104,"UTZ Quality Foods, Inc.",041780032249,g,429.0,10.71,7.14,3.6,75.0,PRETZELS
379105,"UTZ Quality Foods, Inc.",041780000866,g,500.0,7.14,23.93,3.6,64.29,RIPPLES POTATO CHIPS
379106,"UTZ Quality Foods, Inc.",041780032553,g,429.0,7.14,8.93,3.6,82.14,PRETZEL POP'Z
379107,"UTZ Quality Foods, Inc.",041780002266,g,429.0,7.14,7.14,3.6,82.14,TWISTS PRETZELS
379108,"UTZ Quality Foods, Inc.",077817127763,g,393.0,7.14,5.36,3.6,78.57,BITE SIZE MINI BAKED PRETZELS
379109,"UTZ Quality Foods, Inc.",077817112059,g,357.0,7.14,3.57,3.6,71.43,"BACHMAN, FLAME BAKED PRETZEL STIX"
379110,"UTZ Quality Foods, Inc.",041780001580,g,536.0,7.14,32.14,3.6,50.0,POTATO CHIPS
379111,"UTZ Quality Foods, Inc.",041780001481,g,536.0,7.14,32.14,3.6,57.14,WAVY POTATO CHIPS
379112,"Ahold Usa, Inc.",688267155949,g,61.0,2.86,2.45,0.4,7.35,PARMESAN CREAMY CHICKEN NOODLE SOUP
379113,"UTZ Quality Foods, Inc.",041780000583,g,536.0,7.14,35.71,3.6,50.0,POTATO CHIPS
379114,"UTZ Quality Foods, Inc.",041780032126,g,357.0,10.71,3.57,3.6,67.86,PRETZELS
379115,Dan's Gourmet Spot LLC,851461005062,g,180.0,7.81,6.25,0.8,21.88,MACARONI & CHEESE
379116,"UTZ Quality Foods, Inc.",041780002181,g,393.0,7.14,3.57,3.6,85.71,PRETZELS STICKS
379117,"UTZ Quality Foods, Inc.",041780032577,g,429.0,7.14,8.93,3.6,82.14,"UTZ, SELECT PRETZEL POP'Z"
379118,"Ahold Usa, Inc.",688267156014,g,53.0,2.04,1.02,0.4,8.57,CHICKEN & BROWN RICE SOUP
379119,Dan's Gourmet Spot LLC,851461005086,g,211.0,8.59,11.72,1.6,18.75,MACARONI & CHEESE
379120,"Weis Markets, Inc.",041497004058,g,536.0,7.14,32.14,3.6,57.14,"WEIS QUALITY, BAKED CHEESE PUFFS"
379121,"Ahold Usa, Inc.",688267156076,g,61.0,2.45,0.61,1.6,11.43,MINESTRONE SOUP
379123,"Late July Snacks, LLC",890444000663,g,464.0,7.14,25.0,3.6,57.14,ORGANIC RESTAURANT STYLE TORTILLA CHIPS
379124,Dan's Gourmet Spot LLC,851461005079,g,180.0,8.59,7.81,0.8,18.75,MACARONI & CHEESE
379125,Dan's Gourmet Spot LLC,851461005055,g,214.0,8.77,11.4,0.9,20.18,ARTISAN MAC AND CHEESE
379126,"Ahold Usa, Inc.",688267155987,g,49.0,2.45,0.2,2.4,9.8,SOUTHWESTERN STYLE BLACK BEANS SOUP
379127,Dan's Gourmet Spot LLC,851461005093,g,172.0,7.81,7.03,2.3,19.53,"MACARONI & CHEESE, ELBOW PASTA WITH MEXICAN CHORIZO"
379128,Wehah Farm Inc,073416527706,g,358.0,7.55,4.72,5.7,69.81,ORGANIC SPROUTED RISOTTO
379129,Wehah Farm Inc,073416000285,g,400.0,6.67,16.67,6.7,70.0,ORGANIC WHOLE GRAIN RICE CAKES IN DARK CHOCOLATE
379130,Wehah Farm Inc,073416000261,g,400.0,6.67,13.33,6.7,73.33,ORGANIC SWEET DREAMS DECADENT CAKES
379131,SUNRYPE,057961020585,g,324.0,0.0,0.0,5.4,86.49,"SUNRYPE, FRUITSOURCE, 100% FRUIT MINI BITES, MIXED BERRY"
379132,"The Hain Celestial Group, Inc.",074333383024,g,372.0,6.98,0.0,2.3,83.72,"ARROWHEAD MILLS, ORGANIC VANILLA CAKE MIX"
379133,Provisionaire & Co. LLC,854966005124,g,286.0,46.43,5.36,0.0,14.29,"FIELD TRIP, BEEF JERKY"
379134,"Diamond Foods, Inc.",084114108548,g,536.0,7.14,32.14,3.6,57.14,"KETTLE, KRINKLE CUT POTATO CHIPS, DILL PICKLE"
379135,Canisius-Henssen B.V.,8711151034500,g,268.0,3.33,0.0,4.0,63.33,"CANISIUS, APPLE SPREAD"
379136,GREEN MOUNTAIN GRINGO,053852002005,g,32.0,0.0,0.0,0.0,6.45,HOT SALSA
379137,"Starfish Investments, Inc.",659204596033,g,190.0,11.0,7.0,0.0,20.0,BEER BATTERED COD
379138,"Frontera Foods, Inc.",604183121301,g,33.0,0.0,0.0,0.0,6.67,"FRONTERA, TACO SAUCE, MEDIUM"
379139,Mia's Kitchen - A Sebastiani Family Company,856044003060,g,56.0,0.8,3.2,0.8,6.4,GARLIC & ONION AUTHENTIC PASTA SAUCE
379140,Mia's Kitchen - A Sebastiani Family Company,856044003237,g,56.0,0.8,2.8,0.8,7.2,JALAPENO AUTHENTIC PASTA SAUCE
379141,La Preferida Inc,071524159062,g,32.0,0.0,0.0,3.2,6.45,"LA PREFERIDA, ORGANIC SALSA, MEDIUM"
379142,SALPICA,604183310200,g,33.0,0.0,2.17,1.7,6.67,CILANTRO GREEN OLIVE SALSA WITH CHARRED TOMATILLO
379143,"Ahold Usa, Inc.",688267149009,g,41.0,1.18,0.0,2.4,9.41,MATCHSTICK CARROTS
379144,"Starfish Investments, Inc.",659204860028,g,210.0,11.0,8.0,3.0,24.0,FISH STICKS
379145,GREEN MOUNTAIN GRINGO,053852004009,g,32.0,0.0,0.0,0.0,6.45,MEDIUM SALSA
379146,Mia's Kitchen - A Sebastiani Family Company,856044003169,g,56.0,0.8,2.8,0.8,7.2,SRIRACHA
379147,HATLAW'S,041625615040,g,155.0,11.27,7.04,1.4,14.08,BACON & CHEESE STUFFED CLAMS
379148,Ann's House of Nuts Inc.,038718224043,g,525.0,5.0,35.0,5.0,55.0,"HEAT STREET, SOUTHERN STYLE SPICED PECANS"
379149,HEAT STREET,038718224050,g,472.0,11.11,25.0,5.6,58.33,"HEAT STREET, TOFFEE ALMOND ROASTED NUTS, BUTTER, RUM"
379151,Tasty Baking Company,025600085172,g,409.0,3.03,16.67,3.0,62.12,KRIMPIES
379152,HEAT STREET,038718224029,g,550.0,5.0,35.0,2.5,57.5,"HEAT STREET, ROASTED NUTS"
379154,"Kayem Foods, Inc.",030771098395,g,292.0,12.31,24.62,0.0,3.08,"DEUTSCHMACHER, NATURAL CASING FRANKFURTERS"
379155,MySuperFoods Company LLC,851893004039,g,429.0,7.14,12.5,7.1,75.0,WHOLE GRAIN COOKIES
379156,Nu.Millennia/Inc.,741360549500,g,480.0,13.33,26.67,6.7,50.0,"ACTIVATION ENERGY COFFEE, DARK CHOCOLATE & HAZELNUTS"
379157,MySuperFoods Company LLC,851893004053,g,429.0,7.14,12.5,7.1,75.0,WHOLE GRAIN COOKIES
379158,MySuperFoods Company LLC,851893004022,g,425.0,5.0,22.5,7.5,57.5,SOFT GRANOLA BITES
379159,Nu.Millennia/Inc.,741360549555,g,457.0,14.29,21.43,7.1,53.57,MEDITERRANEAN MIX
379160,Nu.Millennia/Inc.,741360549517,g,453.0,13.33,23.33,6.7,56.67,CRANBERRY CASHEW COMPOUND
379161,Nu.Millennia/Inc.,741360549524,g,497.0,13.33,30.0,10.0,50.0,"ELEMENTAL FORMULA PECANS, MAPLE SYRUP & ORANGE"
379162,"Ahold Usa, Inc.",688267159275,g,643.0,7.14,57.14,7.1,32.14,"GIANT, PECANS, PUMPKIN SPICE"
379163,"Ahold Usa, Inc.",688267159978,g,533.0,0.0,53.33,0.0,6.67,FINISHING BUTTER
379165,"Back To Nature Foods Company, LLC",819898013258,g,433.0,10.0,26.67,6.7,53.33,"BACK TO NATURE, MARTHA'S VINEYARD BLEND, A MIX OF ALMONDS, RAISINS, DRIED CRANBERRIES AND DRIED CHERRIES"
379166,"Ahold USA, Inc.",688267142512,g,333.0,3.03,24.24,0.0,24.24,"AHOLD, CREAM CHEESE SPREAD WITH SWEET SPICED PUMPKIN"
379167,"Ahold Usa, Inc.",688267159244,g,536.0,14.29,35.71,3.6,42.86,"LIMITED TIME ORIGINALS, PUMPKIN SPICE CASHEWS"
379168,"Ahold Usa, Inc.",688267151569,g,500.0,7.14,21.43,0.0,53.57,"AHOLD, CHOCOLATE DUNKER COOKIES, NATURAL FLAVOR"
379169,"Ahold Usa, Inc.",688267151576,g,517.0,6.9,24.14,3.4,65.52,"AHOLD, LEMON CRISP COOKIES"
379170,"Ahold Usa, Inc.",688267151552,g,500.0,7.14,21.43,0.0,71.43,"GIANT, DUNKER COOKIES, CHOCOLATE CHIPS"
379171,"Ahold Usa, Inc.",688267151583,g,536.0,7.14,32.14,0.0,53.57,"GIANT, ESPRESSO BEAN SHORTBREAD COOKIES"
379172,D. F. Stauffer Biscuit Co. Inc,072320115559,g,452.0,3.23,16.13,3.2,74.19,HALLOWEEN SHORTBREAD COOKIES
379173,Sabra Dipping Company LLC,040822342988,g,286.0,7.14,21.43,3.6,17.86,"SABRA, ROSEMARY WITH SEA-SALT HUMMUS"
379174,"Ahold Usa, Inc.",688267155055,g,478.0,4.35,21.74,0.0,69.57,MAPLE LEAF COOKIES
379175,"Ahold Usa, Inc.",688267151590,g,464.0,3.57,28.57,0.0,50.0,"AHOLD, ESPRESSO BEAN SHORTBREAD COOKIES"
379176,"Glutenfreeda Foods, Inc.",858246001936,g,429.0,10.71,16.07,7.1,64.29,GLUTEN-FREE GRANOLA
379177,"Glutenfreeda Foods, Inc.",858246001943,g,429.0,10.71,16.07,7.1,64.29,"GLUTENFREEDA, GRANOLA, CERTIFIED GLUTEN-FREE, APPLE ALMOND HONEY"
379178,"Glutenfreeda Foods, Inc.",858246001929,g,429.0,10.71,16.07,7.1,67.86,GRANOLA
379179,"Fannie May Confections, Inc.",052745728817,g,500.0,5.0,27.5,2.5,65.0,"FANNIE MAY, MILK CHOCOLATE, BLUEBERRIES"
379180,"Fannie May Confections, Inc.",052745728404,g,535.0,6.98,32.56,2.3,55.81,"FANNIE MAY, TOFFEE BAR, MILK CHOCOLATE"
379181,"Fannie May Confections, Inc.",052745728343,g,467.0,4.44,28.89,2.2,53.33,MILK CHOCOLATE PIXIES
379182,"Fannie May Confections, Inc.",052745728534,g,500.0,10.0,27.5,5.0,60.0,"FANNIE MAY, PEANUT BUTTER PRETZELS MILK CHOCOLATE"
379183,"Fannie May Confections, Inc.",052745728770,g,525.0,10.0,40.0,7.5,47.5,"FANNIE MAY, DARK CHOCOLATE ALMONDS"
379184,"Fannie May Confections, Inc.",052745728503,g,500.0,7.5,22.5,2.5,65.0,"FANNIE MAY, MILK CHOCOLATE COVERED MINIATURE PRETZELS"
379185,"Fannie May Confections, Inc.",052745728718,g,455.0,3.03,30.3,3.0,54.55,FINE CHOCOLATES
379186,"Fannie May Confections, Inc.",052745728374,g,512.0,4.65,39.53,9.3,51.16,"FANNIE MAY, DARK CHOCOLATE BAR, TOASTED COCONUT"
379187,"Angie's Artisan Treats, LLC",818780012522,g,500.0,3.57,28.57,7.1,64.29,KETTLE CORN
379188,"Fannie May Confections, Inc.",052745728381,g,488.0,6.98,39.53,9.3,48.84,DARK CHOCOLATE BAR
379190,"Fannie May Confections, Inc.",052745728862,g,450.0,5.0,20.0,2.5,62.5,"FANNIE MAY, CHERRIES, MILK CHOCOLATE"
379191,"Fannie May Confections, Inc.",052745728664,g,417.0,2.78,22.22,0.0,52.78,"FANNIE MAY, SEA SALT CARAMELS, MILK CHOCOLATE"
379192,"Fannie May Confections, Inc.",052745728398,g,535.0,6.98,34.88,4.7,51.16,MILK CHOCOLATE BAR
379193,Quinoa Corporation,089125210303,g,357.0,25.0,1.79,12.5,62.5,PASTA GREEN LENTIL PENNE
379194,Calise & Sons Bakery Inc.,075199011304,g,268.0,11.27,4.23,8.5,45.07,"CALISE BAKERY, WHOLE WHEAT KAISER ROLLS"
379195,Calise & Sons Bakery Inc.,075199001411,g,268.0,9.86,2.11,1.4,50.7,"CALISE BAKERY, SPILT SUB ROLLS"
379196,BEYOND MEAT,852629004132,g,145.0,23.64,5.45,1.8,1.82,BEYOND BEEF FEISTY CRUMBLES
379197,Calise & Sons Bakery Inc.,075199001909,g,288.0,10.17,4.24,1.7,50.85,ITALIAN ROLLS
379198,Calise & Sons Bakery Inc.,075199000339,g,290.0,9.68,3.23,3.2,51.61,"CALISE, ITALIAN ROUND"
379199,Calise & Sons Bakery Inc.,075199001336,g,279.0,11.48,3.28,1.6,49.18,"CALISE BAKERY, BULKIE ROLLS"
379200,Calise & Sons Bakery Inc.,075199010352,g,279.0,11.48,2.46,1.6,52.46,"CALISE BAKERY, ITALIAN POTATO ROLLS"
379201,Calise & Sons Bakery Inc.,075199012424,g,282.0,10.59,2.35,2.4,54.12,"CALISE BAKERY, SUB ROLLS"
379202,Calise & Sons Bakery Inc.,075199010505,g,279.0,11.48,2.46,1.6,50.82,"CALISE BAKERY, DELI POTATO ROLLS"
379204,"Ahold Usa, Inc.",688267047268,g,515.0,3.03,24.24,0.0,69.7,COOKIES WITH CHEESECAKE FILLING
379205,"Ahold Usa, Inc.",688267156830,g,286.0,14.29,17.86,3.6,10.71,"GIANT, GOAT CHEESE LOG, PUMPKIN"
379206,"Ahold Usa, Inc.",688267158674,g,316.0,3.51,12.28,1.8,47.37,"GIANT, POUND CAKE, PUMPKIN SPICE"
379207,"Ahold USA, Inc.",688267158346,g,118.0,17.65,3.68,0.0,2.94,"AHOLD, NATURE'S PROMISE, ORGANIC CHICKEN SAUSAGE, PUMPKIN SPICE"
379208,"Ahold Usa, Inc.",688267034978,g,83.0,0.83,5.0,1.7,8.33,PUMPKIN PASTA SAUCE
379209,"Ahold USA, Inc.",688267156137,g,87.0,8.67,0.0,0.7,12.67,"AHOLD, GREEK NONFAT YOGURT, PUMPKIN"
379210,"Ahold Usa, Inc.",688267150050,g,300.0,5.71,11.43,1.4,42.86,BANANA WAFFLES
379212,"Ahold Usa, Inc.",688267158650,g,400.0,10.0,5.0,3.3,76.67,"GIANT, PUMPKIN CRANBERRY CRACKER CRISPS"
379213,"Ahold USA, Inc.",688267142673,g,250.0,7.14,0.0,3.6,50.0,"AHOLD, PUMPKIN BREAD"
379214,"Ahold Usa, Inc.",688267156984,g,263.0,4.04,7.07,1.0,44.44,PUMPKIN CINNAMON ROLL
379215,"Ripple Brand Collective, LLC",859686004174,g,525.0,7.5,27.5,2.5,62.5,SNACKING CHOCOLATE
379216,"American Halal Company, Inc.",857063002478,g,433.0,20.0,11.67,13.3,63.33,"KOREAN BBQ, CRUNCHY CHICKPEAS"
379217,"Reser's Fine Foods, Inc.",071117190496,g,140.0,4.0,2.0,5.0,26.0,SMOKE HOUSE BARBECUE BEANS
379218,"American Halal Company, Inc.",857063002416,g,433.0,20.0,13.33,16.7,60.0,CHIPOTLE CRUNCHY CHICKPEAS
379219,Grecian Delight Inc,075365068644,g,218.0,13.53,11.18,4.7,16.47,"HUMMUS PLUS, TRADITIONAL HUMMUS + OVEN-ROASTED CHICKEN BREAST"
379220,New England Natural Bakers Inc,046689800265,g,417.0,10.42,12.5,8.3,70.83,"NEW ENGLAND NATURALS, ANTIOXIDANT GRANOLA, WITH SUPERFRUIT BERRIES & VANILLA"
379221,New England Natural Bakers Inc,046689800272,g,462.0,11.54,19.23,7.7,63.46,"NEW ENGLAND NATURALS, ORGANIC OMEGA HEMP & FLAX GRANOLA"
379222,Good Health Natural Products Inc.,755355005773,g,464.0,7.14,17.86,3.6,67.86,"GOOD HEALTH, DISNEY MICKEY SHAPED VEGGIE CHIPS"
379223,"Fearnow Bros., Inc.",041636000200,g,70.0,3.08,1.76,0.4,8.81,"MRS. FEARNOW'S, HOPE FARM, DELICIOUS BRUNSWICK STEW WITH CHICKEN"
379224,PACIFIC SUSTAINABLE SEAFOOD,659204595814,g,41.0,1.63,0.61,0.4,6.53,SEAFOOD GUMBO WITH SOCKEYE SALMON & COD
379226,"Ahold Usa, Inc.",688267155086,g,467.0,6.67,16.67,3.3,70.0,"GIANT, NATURE'S PROMISE, GRAHAM BEARS, CINNAMON"
379227,"Royal Hawaiian Macadamia Nut, Inc.",854171004257,g,714.0,7.14,75.0,7.1,14.29,"ROYAL HAWAIIAN ORCHARDS, NATURAL MACADAMIAS"
379228,Krispy Kreme Doughnut Corporation,072470100429,g,368.0,1.75,15.79,1.8,54.39,GLAZED MINI PIES
379229,"Ahold Usa, Inc.",688267155079,g,467.0,6.67,15.0,6.7,73.33,"NATURE'S PROMISE, ORGANIC WHOLE GRAIN ANIMAL COOKIES"
379230,"Beanitos, Inc.",812891020421,g,464.0,14.29,25.0,14.3,53.57,HINT OF LIME WHITE BEAN CHIPS
379231,"Royal Hawaiian Macadamia Nut, Inc.",854171004066,g,571.0,10.71,42.86,7.1,42.86,BLUEBERRY POMEGRANATE MACADAMIA CRUNCH
379232,"Fannie May Confections, Inc.",052745728701,g,558.0,4.65,37.21,2.3,55.81,MINT MELTAWAYS
379233,"Ken's Foods, Inc.",041335000556,g,414.0,0.0,41.38,0.0,6.9,"KEN'S STEAK HOUSE, CREAMY ITALIAN DRESSING"
379234,Krispy Kreme Doughnut Corporation,072470100436,g,368.0,3.51,15.79,1.8,54.39,GLAZED MINI PIES
379235,Beaver Street Fisheries,075391032350,g,106.0,15.6,2.48,0.0,5.67,"SEA BEST, SIGNATURE, POTATO CRUSTED COD"
379236,Beaver Street Fisheries,075391030271,g,163.0,15.6,10.64,0.0,1.42,"SEA BEST, SIGNATURE, ROASTED TOMATO & HERB SALMON"
379237,YUMMY,064563221838,g,231.0,12.82,11.54,1.3,19.23,"YUMMY, TENDER-SHAPED CHICKEN BREAST PATTY FRITTERS WITH RIB MEAT"
379238,NATURE'S BAKERY,047495710656,g,357.0,3.57,8.93,3.6,71.43,FIG BAR
379239,"Ahold USA, Inc.",688267158216,g,550.0,5.0,35.0,2.5,57.5,"AHOLD, HEAT & EAT GLAZED PECANS"
379240,"Live Better Brands, LLC",855564003710,g,393.0,10.71,16.07,14.3,53.57,"SIMPLY SPROUTED, WAY BETTER SNACKS, SPROUTED BARLEY CRACKERS, SALT & CRACKED PEPPER"
379241,"Goya Foods, Inc.",041331024174,g,72.0,5.6,0.4,4.8,14.4,SMALL RED BEANS
379242,"Goya Foods, Inc.",041331029025,g,100.0,6.15,0.77,4.6,17.69,REFRIED BEANS
379243,Hanover Foods Corporation,050300116154,g,23.0,0.77,0.0,0.8,5.38,"HANOVER, SUPERFINE, WHOLE ONIONS"
379244,Hanover Foods Corporation,028800000013,g,116.0,2.33,0.58,3.5,25.58,"HANOVER, PREMIUM THREE BEAN SALAD"
379245,"Goya Foods, Inc.",041331024235,g,82.0,4.92,1.64,5.7,16.39,PREMIUM CHICK PEAS
379246,"Goya Foods, Inc.",041331024693,g,74.0,5.74,0.41,4.9,15.57,BLACK BEANS
