i,b,g,u,e,p,f,d,c,n
623736,"Meijer, Inc.",041250946885,g,467.0,6.67,26.67,6.7,66.67,"SEMI-SWEET CHOCOLATE CHIPS, SEMI-SWEET CHOCOLATE"
623738,McKee Foods Corporation,024300031625,g,436.0,10.91,10.91,12.7,72.73,SIMPLE GRANOLA WHOLE GRAIN
623740,"Schnuck Markets, Inc.",041318290011,g,415.0,9.23,10.77,7.7,73.85,"CLASSIC GRANOLA OATS, RAISINS, ALMONDS & HONEY, CLASSIC GRANOLA"
623742,MOM Brands Company,883978129115,g,429.0,4.76,11.9,4.8,76.19,TOASTED CINNAMON SQUARES
623744,"Schnuck Markets, Inc.",041318290028,g,422.0,10.94,12.5,7.8,71.88,"OATS, ALMONDS & HONEY CLASSIC GRANOLA, OATS, ALMONDS & HONEY"
623746,"Schnuck Markets, Inc.",041318291315,g,355.0,6.45,0.0,9.7,87.1,"TOASTED RICE & WHEAT FLAKES CEREAL WITH BITS OF STRAWBERRY, STRAWBERRY"
623748,Joy Cone Company,072092444123,g,400.0,6.67,0.0,0.0,93.33,GLUTEN FREE SUGAR CONES
623750,"Meijer, Inc.",719283994028,g,381.0,4.76,2.38,0.0,85.71,WAFFLE BOWLS
623752,"Meijer, Inc.",719283993960,g,409.0,4.55,2.27,0.0,86.36,WAFFLE CONES
623754,La Victoria Foods Inc.,072101011667,g,33.0,0.0,0.0,0.0,6.67,"EXTRA HOT JALAPENA SALSA, EXTRA HOT JALAPENA"
623756,La Victoria Foods Inc.,072101011766,g,33.0,0.0,0.0,0.0,6.67,"EXTRA HOT JALAPENA SALSA, EXTRA HOT"
623758,"Topco Associates, Inc.",036800357471,g,50.0,0.0,0.0,3.3,13.33,"MILD PINEAPPLE SALSA, MILD PINEAPPLE"
623760,"Meijer, Inc.",760236114796,g,57.0,0.0,0.0,0.7,14.29,"MEIJER, CRUSHED PINEAPPLE IN PINEAPPLE JUICE"
623762,"Edward & Sons Trading Co., Inc",043182008518,g,64.0,0.8,0.0,0.8,16.0,"100% ORGANIC PINEAPPLE CHUNKS JUICE, PINEAPPLE"
623766,Hormel Foods Corporation,037600105033,g,594.0,21.88,53.12,6.2,18.75,"SKIPPY, NATURAL SUPER CHUNK PEANUT BUTTER SPREAD, SUPER CHUNK"
623770,"Private Brands, Inc.",045454052014,g,300.0,0.0,20.0,0.0,20.0,"SOUP BASE, HAM"
623772,"Schnuck Markets, Inc.",041318031065,g,53.0,2.45,1.22,0.8,7.76,"CHUNKY, HEALTHY RECIPE, GRILLED CHICKEN & SAUSAGE GUMBO"
623774,PARM CRISPS,893222000084,g,556.0,50.0,38.89,0.0,0.0,EVERYTHING OVEN-BAKED 100% CHEESE
623776,BONE SUCKIN' SAUCE,754496001262,g,143.0,2.86,0.0,0.0,37.14,"THICKER STYLE SAUCE, THICKER STYLE"
623778,BONE SUCKIN' SAUCE,754496510061,g,500.0,0.0,0.0,0.0,100.0,"SEASONING & RUB SAUCE, SEASONING & RUB"
623780,BONE SUCKIN' SAUCE,754496001224,g,149.0,2.86,0.0,0.0,37.14,SAUCE
623782,PARM CRISPS,893222000305,g,556.0,50.0,38.89,0.0,0.0,ORIGINAL OVEN-BAKED 100% CHEESE SNACK
623784,PARM CRISPS,893222000060,g,556.0,50.0,38.89,0.0,0.0,ITALIAN HERB OVEN-BAKED 100% CHEESE
623786,Glencourt Inc.,079893402826,g,30.0,2.38,0.0,2.4,4.76,ORGANIC CHOPPED KALE
623788,Cape Cod Potato Chips Inc.,020685000874,g,500.0,7.14,28.57,10.7,53.57,"CAPE COD, SEASIDE POP POPCORN, SEA SALT, SEA SALT"
623790,Glencourt Inc.,079893401751,g,106.0,3.53,0.59,2.4,22.35,ORGANIC GOLDEN CUT CORN
623792,Cape Cod Potato Chips Inc.,020685000898,g,536.0,7.14,32.14,7.1,53.57,"CAPE COD, SEASIDE POP POPCORN, WHITE CHEDDAR, WHITE CHEDDAR"
623794,Glencourt Inc.,079893401737,g,35.0,3.53,0.0,3.5,5.88,ORGANIC PETITE BROCCOLI FLORETS
623796,Glencourt Inc.,079893406114,g,85.0,5.38,0.0,3.8,16.15,ORGANIC PINTO BEANS
623798,Glencourt Inc.,079893101002,g,67.0,3.33,1.11,3.3,10.0,"ORGANIC GARDEN BLEND VEGETABLES BROCCOLI, CARROTS, CORN, SOYBEANS, GARDEN BLEND VEGETABLES"
623800,Glencourt Inc.,079893401812,g,35.0,2.33,0.0,2.3,5.81,"ORGANIC CALIFORNIA STYLE VEGETABLES BROCCOLI, CAULIFLOWER, CARROTS, CALIFORNIA STYLE"
623802,Glencourt Inc.,079893401744,g,82.0,4.71,0.0,4.7,14.12,ORGANIC GREEN PEAS
623806,"United Natural Foods, Inc.",042563016272,g,157.0,0.0,0.0,1.4,35.71,"ORGANIC WHOLE CRANBERRY SAUCE, CRANBERRY"
623808,"Edward & Sons Trading Co., Inc",043182008686,g,36.0,0.71,0.0,0.7,9.29,"100% ORGANIC MANDARINS ORANGE JUICE, MANDARINS"
772798,"Schnuck Markets, Inc.",041318290837,g,452.0,9.68,12.9,6.5,74.19,WHOLE GRAIN ROLLED OAT CLUSTERS WITH RAISINS GRANOLA
772802,T. Marzetti Company,071475015011,g,500.0,14.29,21.43,0.0,57.14,GOURMET CUT GARLIC CROUTONS
793861,San Gennaro Foods Inc.,762676150006,g,70.0,2.0,0.0,1.0,15.0,TRADITIONAL ITALIAN POLENTA
793863,"Mizkan America, Inc.",036200378168,g,56.0,1.6,1.2,1.6,9.6,SAUTEED ONION & BEEF FLAVOR SAUCE
793865,Mapei Corporation,773948201005,g,625.0,21.88,46.88,6.2,25.0,TOASTED SOY SPREAD
793867,"Schnuck Markets, Inc.",041318271027,g,361.0,9.84,4.1,1.6,70.49,BUTTERMILK COMPLETE PANCAKE & WAFFLE MIX
793869,"Schnuck Markets, Inc.",041318271010,g,359.0,7.69,3.85,2.6,71.79,ORIGINAL COMPLETE PANCAKE & WAFFLE MIX
793877,Louisiana Fish Fry Ltd.,039156002743,g,333.0,13.33,1.11,2.2,68.89,DIRTY RICE MIX
793879,Louisiana Fish Fry Ltd.,039156000077,g,273.0,9.09,0.0,0.0,63.64,CAJUN GUMBO BASE
793881,"Don's Chuck Wagon Products, Inc.",070766000019,g,333.0,6.67,0.0,3.3,73.33,ONION RING BATTER MIX
793883,"The Hain Celestial Group, Inc.",074873163223,g,85.0,5.38,0.0,4.6,15.38,ORGANIC GREAT NORTHERN BEANS
793889,Industrias La Famosa,071845098309,g,333.0,2.56,15.38,2.6,48.72,REAL CREAM OF COCONUT
793891,JFC International Inc.,011152276410,g,500.0,16.67,25.0,16.7,33.33,RICE SEASONING
793893,T. Marzetti Company,071475015011,g,500.0,14.29,21.43,0.0,57.14,GARLIC GOURMET CUT CROUTONS
793895,"Foodman, LLC",854870004015,g,462.0,9.62,23.08,7.7,57.69,MATZOLAH WHOLE WHEAT MAPLE NUT
793897,"5th & Lenora, Inc.",672361000038,g,333.0,0.0,0.0,0.0,66.67,PORK RUB
793901,Royal Wine Corporation,073490129865,g,462.0,7.69,19.23,3.8,69.23,CRUNCHEE CEREAL BARS
793905,Lieber Chocolate & Food Products Co.,043427161060,g,480.0,0.0,20.0,0.0,73.33,FLOWER CONFETTI
793907,Ezaki Glico USA Corporation,073141152969,g,500.0,9.38,21.88,3.1,68.75,CHOCOLATE CREAM FILLED BISCUIT STICK
795131,Five Point Products,815367010308,g,56.0,0.8,0.0,2.4,12.0,"PEAR, CARROT & BEET ORGANIC FRUIT & VEGETABLE PUREE"
795133,Five Point Products,815367010063,g,53.0,0.88,0.0,1.8,12.39,APPLE & PEACH ORGANICS FRUIT PUREE
795135,Five Point Products,815367010087,g,31.0,0.0,0.0,1.8,7.08,APPLE & GRAPE ORGANIC FRUIT PUREE
795137,Five Point Products,815367010100,g,62.0,0.88,0.0,0.9,15.04,STRAWBERRY & BANANA ORGANIC FRUIT PUREE
388471,SPARTAN,011213032627,g,500.0,0.0,20.83,0.0,75.0,COFFEE CREAMER
388472,SPARTAN,011213185996,g,355.0,9.68,1.61,3.2,70.97,CHEESE BURGER PASTA & SAUCE MIX
388473,SPARTAN,011213075617,g,343.0,8.57,1.43,2.9,74.29,LASAGNA PASTA & SAUCE MIX
388474,SPARTAN,011213086323,g,353.0,8.82,2.94,2.9,70.59,DOUBLE CHEESEBURGER PASTA & SAUCE MIX
388475,SPARTAN,011213086309,g,333.0,10.0,3.33,3.3,66.67,HAMBURGER SKILLET DINNER
388476,Wehah Farm Inc,073416020344,g,357.0,10.71,1.79,1.8,75.0,TRADITIONAL ITALIAN RISOTTO
388477,SPARTAN,011213087573,g,333.0,10.71,10.71,2.4,48.81,CHICKEN & BROCCOLI PASTA & SAUCE MIX
388478,SPARTAN,011213855929,g,357.0,10.71,3.57,3.6,71.43,HAMBURGER SKILLET DINNER
388479,"Schnuck Markets, Inc.",041318210415,g,532.0,3.23,29.03,3.2,61.29,HAZELNUT CREAMY SPREAD
388481,"Schnuck Markets, Inc.",041318210231,g,562.0,21.88,46.88,6.2,25.0,PEANUT BUTTER
388482,"Schnuck Markets, Inc.",041318210293,g,405.0,8.11,18.92,2.7,54.05,PB&J STRIPES GRAPE JELLY & PEANUT BUTTER
388484,"Schnuck Markets, Inc.",041318210620,g,594.0,21.88,46.88,6.2,25.0,PEANUT BUTTER
388486,"Schnuck Markets, Inc.",041318210613,g,562.0,21.88,46.88,6.2,25.0,CREAMY PEANUT BUTTER
388488,"Schnuck Markets, Inc.",041318210057,g,594.0,21.88,46.88,6.2,25.0,"SCHNUCKS, CRUNCHY PEANUT BUTTER"
388493,Kingston Marketing Co,011225421884,g,562.0,21.88,46.88,6.2,25.0,CRUNCHY PEANUT BUTTER
388501,"Eden Foods, Inc.",024182133608,g,176.0,5.88,2.94,5.9,35.29,SHIRO MISO AGED & FERMENTED RICE & SOYBEANS
388502,"Whole Foods Market, Inc.",099482450380,g,367.0,13.33,3.33,6.7,73.33,BREAD CRUMBS
388503,BELA,633600502300,g,218.0,23.64,12.73,0.0,0.0,LIGHTLY SMOKED PORTUGUESE SARDINES IN EXTRA VIRGIN OLIVE OIL
388506,LAN'S,749512773308,g,350.0,10.0,0.0,5.0,75.0,BREADCRUMBS
388507,"Pacific Foods of Oregon, Inc.",052603094658,g,83.0,4.76,1.19,3.6,14.29,"PACIFIC, ORGANIC BURMESE TOFU"
388508,TONNINO,813958009090,g,161.0,28.57,4.46,0.0,0.0,TUNA FILLETS IN OLIVE OIL
388509,"Whole Foods Market, Inc.",099482448073,g,100.0,0.0,0.0,0.0,20.0,ORGANIC SOY GINGER SAUCE
388510,Sawatdee Corp.,890741000595,g,233.0,6.67,16.67,0.0,13.33,PEANUT SAUCE
388511,"Whole Foods Market, Inc.",099482415990,g,175.0,20.63,11.11,0.0,0.0,WILD SALMON
388513,Sawatdee Corp.,890741000557,g,50.0,0.0,2.5,0.0,5.0,"THAI AND TRUE, PANANG CURRY PASTE"
