b,g,e,p,f,d,c,n
ROUNDY'S,011150176002,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, SMALL SHELLS, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150176156,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, MEDIUM SHELLS PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150176422,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, FETTUCCINE PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150176132,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, ANGEL HAIR PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150176040,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, SPAGHETTI PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150176095,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, THIN SPAGHETTI PASTA, ENRICHED MACARONI PRODUCT"
Elevation Brands LLC,749512772202,350.0,10.0,0.0,5.0,75.0,"IAN'S, ITALIAN STYLE PANKO BREADCRUMBS"
ROUNDY'S,011150110006,387.0,12.9,4.84,3.2,70.97,"ROUNDY'S, ITALIAN CLASSICS PLAIN BREAD CRUMBS"
ROUNDY'S,011150110013,382.0,14.71,5.88,5.9,67.65,"ROUNDY'S, ITALIAN CLASSICS, ITALIAN STYLE BREAD CRUMBS"
Vidette Inc,089397105208,367.0,13.33,3.33,6.7,70.0,"RACCONTO, ITALIAN STYLE BREADCRUMBS"
Vidette Inc,089397105192,367.0,13.33,3.33,6.7,73.33,"RACCONTO, PLAIN BREADCRUMBS"
Vigo Importing Company,071072013601,367.0,13.33,5.0,6.7,70.0,"VIGO, ITALIAN STYLE SEASONED BREADCRUMBS"
"Andy's Seasoning, Inc.",035204600992,333.0,11.11,0.0,0.0,66.67,CHICKEN BREADING
ROUNDY'S,011150226332,375.0,12.5,6.25,0.0,62.5,COAT & BAKE CHICKEN SEASONING AND COATING MIX
ROUNDY'S,011150226325,389.0,11.11,5.56,0.0,77.78,COAT & BAKE PORK
ROUNDY'S,011150109604,393.0,10.71,5.36,3.6,75.0,"ROUNDY'S, STUFFING MIX, CHICKEN"
ROUNDY'S,011150109635,393.0,10.71,5.36,3.6,71.43,"ROUNDY'S, STUFFING MIX, TURKEY"
ROUNDY'S,011150083942,33.0,1.67,1.67,0.0,5.0,MUSHROOM GRAVY
ROUNDY'S,011150183505,370.0,7.41,0.0,7.4,77.78,"ROUNDY'S, HASH BROWN POTATOES"
ROUNDY'S,011150182034,321.0,7.14,5.36,7.1,60.71,"ROUNDY'S, ROASTED GARLIC FLAVORED MASHED POTATOES"
"Idahoan Foods, LLC",029700021504,357.0,7.14,7.14,3.6,71.43,"IDAHOAN, MASHED POTATOES, APPLEWOOD SMOKED BACON"
ROUNDY'S,011150900324,438.0,0.0,0.0,0.0,50.0,"ROUNDY'S, THICK & ZESTY SPAGHETTI SAUCE MIX"
ROUNDY'S,011150900317,333.0,11.11,0.0,11.1,66.67,"ROUNDY'S, CHILI SEASONING MIX"
