b,g,e,p,f,d,c,n
"Schnuck Markets, Inc.",041318870893,304.0,14.29,26.79,0.0,1.79,SMOKED SAUSAGE
White Rose Food Corp.,074807187189,94.0,0.0,0.0,0.0,21.88,APRICOT HALVES IN HEAVY SYRUP
Dole Packaged Foods Company,038900004095,89.0,0.81,0.0,0.8,21.14,PINEAPPLE CHUNKS IN HEAVY SYRUP
Del Monte Foods Inc.,024000021834,63.0,0.79,0.0,1.6,15.08,"DEL MONTE, MANDARIN ORANGES IN LIGHT SYRUP"
White Rose Food Corp.,074807193821,66.0,1.64,0.0,0.0,13.93,"WHITE ROSE, CRUSHED PINEAPPLE"
Pinnacle Foods Group LLC,014500002662,42.0,1.19,0.0,2.4,7.14,BABY MIXED BEANS & CARROTS
Pinnacle Foods Group LLC,014500003805,106.0,3.53,1.18,1.2,22.35,SWEET MINI CORN ON THE COB
The Kroger Co.,011110863317,433.0,6.67,8.33,3.3,80.0,7 ANCIENT GRAINS RICE CRACKERS WITH SEA SALT
"Iga, Inc.",041270024532,136.0,0.0,0.0,1.2,34.57,APPLE PIE FILLING
"Schnuck Markets, Inc.",041318300765,389.0,7.41,0.93,1.9,81.48,INSTANT WHITE RICE
Aldi-Benner Company,041498147730,266.0,11.39,12.66,1.3,25.32,"SEA QUEEN, BREADED FISH STICKS"
H E Butt Grocery Company,041220968947,327.0,7.27,1.82,10.9,80.0,"H-E-B, RAISIN BRAN CEREAL"
"Ys Gourmet Productions, Inc.",00877770,393.0,10.71,0.0,3.6,82.14,PRETZEL SLIMS
"Johanna Foods, Inc.",053600700696,62.0,4.89,1.33,0.0,7.11,LOWFAT YOGURT
Quesos La Ricura,769087000616,250.0,17.86,21.43,0.0,3.57,CHEESE
Tropical Cheese Industries Inc,027568025405,321.0,21.43,25.0,0.0,3.57,CENTROAMERICAN ROJA CHEESE
Tropical Cheese Industries Inc,027568025450,286.0,17.86,21.43,0.0,3.57,NOT PRODUCT DESCRIPTION LISTED
Tropical Cheese Industries Inc,027568025504,321.0,21.43,25.0,0.0,3.57,CENTROAMERICAN ROJA CHEESE
Tropical Cheese Industries Inc,027568025108,321.0,21.43,21.43,0.0,3.57,A SEMI-SWEET BASKET CHEESE
HERR'S,6763495463654,182.0,3.03,15.15,0.0,6.06,FRENCH ONION DIP
Herr Foods Inc.,072600054073,500.0,3.57,28.57,3.6,53.57,HOT! CRUNCHY CHEESE STICKS
Herr Foods Inc.,072600042094,500.0,7.14,25.0,7.1,57.14,POPCORN
Herr Foods Inc.,072600081154,571.0,3.57,35.71,0.0,53.57,CHEESE CORLS
WHITE ROSE,7335973936654,267.0,23.33,16.67,0.0,3.33,MOZZARELLA
White Rose Food Corp.,074807366270,312.0,12.5,9.38,0.0,50.0,"WHITE ROSE, NOODLE SOUP MIX"
Allied International Corp. Of Va,035549976431,433.0,6.67,6.67,6.7,80.0,ITALIAN ALMOND COOKIES
Pinnacle Foods Group LLC,644209414451,406.0,3.12,7.81,3.1,84.38,CHOCOLATE CHIP COOKIES COOKIE MIX
Hodgson Mill Inc,071518020101,333.0,13.33,0.0,3.3,73.33,"HODGSON MILL, BREAD FLOUR"
Hodgson Mill Inc,071518010119,500.0,18.75,34.38,28.1,28.12,"HODGSON MILL, WHOLE BROWN FLAX SEED"
Hodgson Mill Inc,071518000080,353.0,8.82,1.47,5.9,82.35,"HODGSON MILL, WHOLE WHEAT BROWNIES WITH MILLED FLAX SEED"
"Bob's Red Mill Natural Foods, Inc.",039978011213,389.0,16.67,6.94,11.1,63.89,SCOTTISH OATMEAL
TIGER TIGER,846462100120,100.0,0.0,0.0,5.0,25.0,CHILI SAUCE
Interstate Food Processing Corporation,811271001517,273.0,0.0,18.18,0.0,27.27,"TRUWHIP, WHIPPED TOPPING"
Rovira Biscuit Corporation,072981005107,400.0,6.67,6.67,0.0,80.0,TITA CRACKERS
Rovira Biscuit Corporation,072981001352,467.0,6.67,13.33,0.0,73.33,PARTY SODA THE ABSOLUTE PARTY CRACKERS
Rovira Biscuit Corporation,072981005022,467.0,6.67,10.0,0.0,80.0,TREATS CRACKERS
Rovira Biscuit Corporation,072981005213,467.0,6.67,10.0,0.0,80.0,ALMONDS TREATS CRACKERS
Rovira Biscuit Corporation,072981005251,467.0,6.67,10.0,0.0,80.0,"ROVIRA BISCUITS, TREATS CRACKERS, CINNAMON"
"Theo Chocolate, Inc.",874492002275,452.0,3.23,25.81,6.5,67.74,RICH DARK DRINKING CHOCOLATE
H E Butt Grocery Company,041220880300,536.0,7.14,25.0,7.1,67.86,"H-E-B, SWEET POTATO TORTILLA CHIPS WITH SEA SALT"
"Osi Industries, LLC",070575040220,115.0,4.71,4.71,0.5,13.61,LASAGNA WITH MEAT SAUCE
"Schnuck Markets, Inc.",041318300284,356.0,11.11,2.22,4.4,73.33,"CULINARIA, AZTEC BLEND, RICE MIX"
"Schnuck Markets, Inc.",041318300307,356.0,15.56,2.22,13.3,71.11,"CULINARIA, CHARCOAL WHEAT HEIRLOOM GRAIN"
"Schnuck Markets, Inc.",041318300314,378.0,13.33,2.22,4.4,75.56,"CULINARIA, GOLDEN JEWEL BLEND"
"Schnuck Markets, Inc.",041318300178,356.0,13.33,1.11,6.7,73.33,"CULINARIA, JADE BLEND RICE MIX"
"Schnuck Markets, Inc.",041318300208,378.0,15.56,3.33,17.8,73.33,"CULINARIA, PURE BLACK BARLEY"
"Schnuck Markets, Inc.",041318240252,382.0,14.71,5.88,5.9,67.65,"SCHNUCKS, ITALIAN STYLE BREAD CRUMBS"
"Schnuck Markets, Inc.",041318190762,312.0,0.0,0.0,0.0,75.0,"SCHNUCKS, SPAGHETTI SAUCE MIX"
"Noelle's Secret Brands, Inc.",608866282570,36.0,0.0,0.0,3.6,7.14,CORTIDO KRAUT
"Arco Distributors, Inc.",609722957953,36.0,0.0,0.0,3.6,7.14,FIREFLY KIMCHI
Quisling Media,689076367547,241.0,2.3,14.94,0.0,22.99,"THREE TWINS ICE CREAM, ORGANIC ICE CREAM, MINT CONFETTI, MINT CONFETTI"
"Dierberg's Markets, Inc.",023933101385,73.0,1.63,0.0,0.8,16.26,CONDENSED TOMATO SOUP
Aldi-Benner Company,041498112011,53.0,0.0,0.0,0.9,14.04,"SWEET HARVEST, PINEAPPLE SLICES"
Aldi-Benner Company,041498185251,385.0,7.69,0.0,0.0,92.31,"BENTON'S, KIDS 12 SUGAR CONES"
Harris-Teeter Inc.,072036000385,345.0,9.09,1.82,10.9,81.82,"HARRIS TEETER, SHREDDED WHEAT CEREAL"
Richardson Brands Company,086445179013,400.0,0.0,0.0,0.0,100.0,"COLOMBINA, TIGER POPS"
TRADER JOE'S,00362870,357.0,12.5,0.89,3.6,73.21,"TRADER JOE'S, VEGETABLE RADIATORE ORGANIC PASTA"
Aldi-Benner Company,041498175733,464.0,7.14,21.43,7.1,67.86,MULTIGRAIN CRISPS
Aldi-Benner Company,041498173210,429.0,14.29,14.29,0.0,71.43,ITALIAN SEASONED CROUTONS
Harris-Teeter Inc.,072036420732,333.0,6.67,0.0,0.0,77.78,"HARRIS TEETER, ENRICHED LONG GRAIN WHITE RICE"
"Clemens Food Group, LLC",070919032157,220.0,14.63,14.63,0.0,2.44,"HATFIELD, FULLY COOKED PORK ROLL SAUSAGE, TANGY"
Knauss Foods LLC,071234110308,120.0,4.8,8.8,0.0,6.4,"KNAUSS, CREAMED CHIPPED BEEF TOPPING"
H E Butt Grocery Company,041220892631,375.0,12.5,6.25,10.0,67.5,"H-E-B, OLD FASHIONED OATS"
Ad-Visor,718122065370,224.0,4.71,12.94,3.5,24.71,ORGANIC ICE CREAM
Jdh Distribution Inc.,718122065271,212.0,2.35,14.12,0.0,18.82,ORGANIC ICE CREAM
"Oregon Ice Cream, LLC",072609741226,250.0,3.75,13.75,1.2,27.5,"JULIE'S, ORGANIC VANILLA ICE CREAM SANDWICH"
"Oregon Ice Cream, LLC",072609741110,333.0,4.94,22.22,0.3,29.63,"JULIE'S, ORGANIC CHOCOLATE ICE CREAM BAR, CHOCOLATE"
Harris-Teeter Inc.,072036979902,390.0,7.32,4.88,4.9,80.49,TOASTED OATS CEREAL
"The Hain Celestial Group, Inc.",084253284233,200.0,2.22,10.0,2.2,26.67,"ALMOND DREAM, NON-DAIRY FROZEN DESSERT, CHOCOLATE"
American Importing Co. Inc.,071725728623,467.0,3.33,16.67,0.0,76.67,YOGURT PRETZELS
American Importing Co. Inc.,071725728661,533.0,20.0,40.0,6.7,33.33,TRAIL MIX
"Double Rainbow Gourmet Ice Creams, Inc.",022852416082,200.0,2.0,8.0,1.0,32.0,"DOUBLE RAINBOW, SOY CREAM, VERY CHERRY CHIP"
"Oregon Ice Cream, LLC",072609737137,263.0,3.03,17.17,4.0,25.25,"JULIE'S, ORGANIC ICE CREAM, TOASTY ALMOND COCONUT CHIP"
"Oregon Ice Cream, LLC",072609737120,232.0,2.11,14.74,3.2,25.26,"JULIE'S, ORGANIC ICE CREAM, MINT CHIP"
Harris-Teeter Inc.,072036977854,357.0,21.43,28.57,0.0,3.57,"HARRIS TEETER, CRUMBLED BLUE CHEESE"
PORT SALUT,206871607748,357.0,21.43,28.57,0.0,3.57,"PORT SALUT, SEMI SOFT CHEESE"
CIAO BELLA,799512012099,114.0,1.14,0.0,1.1,28.41,SORBETTO
"Oregon Ice Cream, LLC",072609033161,129.0,1.18,1.76,0.0,25.88,"ALDEN'S, ORGANIC SHERBET, ORANGE"
"Oregon Ice Cream, LLC",072609033130,167.0,4.17,6.25,0.0,26.39,"ALDEN'S, ORGANIC LIGHT ICE CREAM, VANILLA"
"Oregon Ice Cream, LLC",072609741943,205.0,2.74,10.96,0.0,24.66,"ALDEN'S, ORGANIC ICE CREAM, PEACHES 'N CREAM"
Straus Family Creamery,784830100405,264.0,4.4,16.48,0.0,20.88,"STRAUS FAMILY CREAMERY, ORGANIC SUPER PREMIUM ICE CREAM, COFFEE"
Straus Family Creamery,784830100504,275.0,3.3,18.68,0.0,23.08,ORGANIC SUPER PREMIUM ICE CREAM
Straus Family Creamery,784830100009,253.0,3.3,15.38,1.1,26.37,"STRAUS FAMILY CREAMERY, ORGANIC SUPER PREMIUM ICE CREAM, VANILLA CHOCOLATE CHIP"
"Double Rainbow Gourmet Ice Creams, Inc.",022852665855,286.0,3.81,13.33,1.0,25.71,"DOUBLE RAINBOW, ICE CREAM, COFFEE BLAST"
"Double Rainbow Gourmet Ice Creams, Inc.",022852665800,248.0,2.86,13.33,1.0,23.81,"DOUBLE RAINBOW, ICE CREAM, DULCE DE LECHE"
"Double Rainbow Gourmet Ice Creams, Inc.",022852665398,305.0,3.81,17.14,1.0,25.71,"DOUBLE RAINBOW, ICE CREAM, MINT CHOCOLATE CHIP"
"Double Rainbow Gourmet Ice Creams, Inc.",022852665824,238.0,3.81,15.24,1.9,22.86,"DOUBLE RAINBOW, ICE CREAM, ULTRA CHOCOLATE"
"Oregon Ice Cream, LLC",072609736062,219.0,3.12,13.54,1.0,23.96,"JULIE'S ORGANIC, ICE CREAM, BLACKBERRY"
"Oregon Ice Cream, LLC",072609736758,144.0,4.44,3.33,2.2,26.67,"JULIE'S ORGANIC, LOWFAT FROZEN YOGURT, LEMON"
Lopez Island Creamery,639522000023,254.0,4.26,15.96,0.3,23.4,HANDMADE ICE CREAM
Lopez Island Creamery,639522000092,234.0,3.19,14.89,0.3,22.34,HANDMADE ICE CREAM
"Western Family Foods, Inc.",015400196352,85.0,6.92,0.0,4.6,14.62,LIGHT RED KIDNEY BEANS
White Rose Tea Inc.,011196652515,29.0,1.18,0.0,2.4,4.71,WINTER BLEND
Pinnacle Foods Group LLC,014500011008,79.0,5.62,0.0,4.5,13.48,SWEET PEAS
Pinnacle Foods Group LLC,014500011282,67.0,2.22,0.56,2.2,11.11,FRESH FROZEN VEGETABLES
Pinnacle Foods Group LLC,014500012753,182.0,3.5,0.35,0.7,39.16,LONG GRAIN WHITE RICE
Old Vienna LLC,036300102328,536.0,10.71,32.14,7.1,50.0,HOT CORN
"Bimbo Bakeries USA, Inc.",072030000282,396.0,4.17,18.75,2.1,56.25,"CHOCOLATE CHIP CRUMB LOAF CAKE, CHOCOLATE CHIP"
"Bimbo Bakeries USA, Inc.",072030013091,394.0,5.63,14.08,1.4,57.75,"ENTENMANN'S, CINNAMON BUNS"
"Fernando's Bakery, Inc.",808330807968,342.0,7.02,15.79,0.0,45.61,"AMERICAN CLASSIC, GOURMET MUFFIN, PINEAPPLE"
Daisy's Bakery Inc.,694411004162,429.0,8.93,23.21,0.0,46.43,"DAISY'S, ICED RED VELVET RING CAKE"
"Cuddletime, Inc.",899707000013,393.0,7.14,17.86,4.3,50.0,"LAURA'S WHOLESOME JUNK FOOD, OATMEAL CHOCOLATE CHIP BITE - LETTES"
"Cuddletime, Inc.",899707000006,357.0,7.14,14.29,3.6,39.29,"LAURA'S WHOLESOME JUNK FOOD, BITE - LETTES, OATMEAL RAISIN"
VISTA,045100060554,333.0,6.67,6.67,0.0,53.33,SOUP & OYSTER CRACKERS
Mrs. Fields Famous Brands LLC,886002506524,464.0,7.14,17.86,3.6,64.29,"MRS.FIELDS, COOKIES, OATMEAL RAISIN"
DADDY RAY'S,669731100214,350.0,5.0,5.0,0.0,70.0,"FIG BARS, FIG"
American Importing Co. Inc.,071725701527,467.0,3.33,20.0,3.3,73.33,"NATURALLY SELECT, YOGURT RAISINS"
American Importing Co. Inc.,071725700797,300.0,2.5,0.0,5.0,70.0,"AMPORT FOODS, DRIED PRUNES PLUMS"
Roskam Baking Company,070678596013,429.0,14.29,14.29,0.0,71.43,"ROTHBURY FARMS, TEXAS TOAST SEASONED CROUTONS"
Sugar Foods Corporation,086631436425,500.0,14.29,28.57,0.0,57.14,"KITCHEN FIXIN'S, TRI-COLOR TORTILLA STRIPS"
LOTTIE & BECK,776653005081,400.0,0.0,0.0,0.0,92.0,"LOTTIE & BECK, INSTANT PUDDING & PIE FIILING, VANILLA"
"Dollar Tree Stores, Inc.",639277309310,467.0,0.0,46.67,0.0,6.67,"CALDER'S GOURMET, TARTAR SAUCE"
"Bektrom Foods, Inc",854510003507,400.0,5.0,10.0,2.5,75.0,"MRS. FIELDS, CHOCOLATE CUPCAKES"
"Bektrom Foods, Inc",854510003538,395.0,2.33,8.14,2.3,76.74,"MRS. FIELDS, CONFETTI CUPCAKES"
"Dollar Tree Stores, Inc.",639277692801,21.0,0.83,0.0,0.8,4.96,"HOME STYLE SELECT, CRUSHED TOMATOES"
"Zwanenberg Food Group (USA), Inc.",075069153486,196.0,14.29,12.5,0.0,7.14,"BRISTOL, BACON GRILL, LUNCHEON LOAF"
Harris-Teeter Inc.,072036951090,417.0,33.33,25.0,0.0,0.0,"HARRIS TEETER, FRESH FOODS MARKET, GRATED ITALIAN PECORINO ROMANO CHEESE"
"Zwanenberg Food Group (USA), Inc.",075069153004,161.0,16.07,10.71,0.0,1.79,"BRISTOL, CHUNK HAM"
Harris-Teeter Inc.,072036951915,429.0,28.57,21.43,0.0,14.29,"HARRIS TEETER, FRESH FOODS MARKET, GRATED ITALIAN PARMESAN CHEESE"
Swagger Foods Corporation,076587103090,367.0,11.67,3.33,1.7,73.33,"CHEF SWAGGER'S KITCHEN, FLAVORED SAUCE WITH FETTUCCINE PASTA, CHICKEN"
Swagger Foods Corporation,076587103083,383.0,13.33,5.83,1.7,73.33,"CHEF SWAGGER'S KITCHEN, FETTUCCINE PASTA WITH ALFREDO SAUCE"
Harris-Teeter Inc.,072036977847,250.0,21.43,14.29,0.0,7.14,"HARRIS TETTER, CRUMBLED FETA CHEESE"
Harris-Teeter Inc.,072036950482,287.0,2.78,14.81,1.9,34.26,"FRESH FOODS MARKET, ICE CREAM CAKE WITH BROKEN COOKIE PIECES"
Harris-Teeter Inc.,072036958204,286.0,2.86,17.14,0.0,29.52,"HARRIS TEETER, ICE CREAM CAKE, CHOCOLATE & VANILLA SWIRL"
Bakery Boys Of N.Y. Ltd.,738004000411,475.0,3.57,35.71,0.9,53.57,"THE BAKERY BOYS OF NEW YORK, APRICOT SANDWICH CHOCOLATE DIP SPRINKLES"
Bakery Boys Of N.Y. Ltd.,738004000367,409.0,5.45,16.35,2.7,62.67,"THE BAKER'S BAKERY, MINI BLACK & WHITE COOKIES"
Bakery Boys Of N.Y. Ltd.,738004000428,468.0,3.57,25.0,0.0,53.57,"BAKERY BOYS OF NEW YORK, POWDERED SUGAR COOKIES, SWISS RASPBERRY"
"Golden County Foods, Inc.",743002740337,282.0,5.13,15.38,2.6,30.77,"SNAPPS, CREAM CHEESE PEPPER BITES"
Harris-Teeter Inc.,072036953001,267.0,4.44,7.78,2.2,46.67,"HARRIS TEETER, FRESH FOODS MARKET, SLICED BANANA CREME CAKE"
"Golden County Foods, Inc.",743002740344,333.0,10.26,17.95,2.6,33.33,"SNAPPS, CHEESE STICKS"
New West Records,610098745471,690.0,0.0,68.97,0.0,0.0,"TESSEMAE' S, SOY GINGER DRESSING, MARINADE AND DIP"
"Freshwater Farms Products, LLC",095371302006,245.0,4.08,9.18,2.0,36.73,"FRESHWATER FARMS, HUSHPUPPIES"
Harris-Teeter Inc.,072036952219,318.0,14.55,7.27,1.8,48.18,"FRESH FOODS MARKET, TORTELLONI WITH PORK & PROSCIUTTO & PARMESAN"
"Made-For-Dog Videos, Inc.",00930895,250.0,0.0,8.33,16.7,50.0,TACO SEASONING MIX
Harris-Teeter Inc.,072036952127,421.0,2.63,17.11,0.0,61.84,3 LAYER CAKE
Harris-Teeter Inc.,072036953346,61.0,2.86,2.45,0.8,6.94,"HARRIS TEETER, GRILLED CHICKEN CHIPOTLE CHOWDER"
Harris-Teeter Inc.,072036951762,94.0,3.67,4.49,0.8,8.16,"HARRIS TEETER, FRESH FOODS MARKET, CHICKEN & WILD RICE"
Harris-Teeter Inc.,072036955197,33.0,1.63,0.2,1.2,5.71,"HARRIS TEETER, FRESH FOODS MARKET, GAZPACHO SOUP"
Harris-Teeter Inc.,072036027047,214.0,7.14,14.29,7.1,17.86,"HARRIS TEETER, FRESH FOODS MARKET, ARTISAN HUMMUS, CARAMELIZED ONIONS"
Harris-Teeter Inc.,072036027016,250.0,7.14,21.43,7.1,17.86,"HARRIS TEETER, FRESH FOODS MARKET, TRADITIONAL ARTISAN HUMMUS"
Harris-Teeter Inc.,072036953339,78.0,0.82,4.9,0.4,5.71,"FRESH FOODS MARKET, WILD MUSHROOM BISQUE"
Harris-Teeter Inc.,072036950116,49.0,2.45,0.61,3.3,8.57,"HARRIS TEETER, FRESH FOODS MARKET, VEGETABLE CHILI"
Harris-Teeter Inc.,072036952110,82.0,4.49,1.02,6.1,14.29,"HARRIS TEETER, ORGANICS BLACK BEAN SOUP"
Harris-Teeter Inc.,072036950123,69.0,3.67,0.82,3.3,11.84,"FRESH FOODS MARKET, MOROCCAN LENTIL SOUP WITH CHICK PEAS"
Harris-Teeter Inc.,072036958310,100.0,0.36,0.0,3.6,25.0,"HARRIS TEETER, KOSHER DILL BREAD & BUTTER SLICES"
Harris-Teeter Inc.,072036951229,118.0,3.27,7.76,0.8,6.94,"FRESH FOODS MARKET, NEW ENGLAND CLAM CHOWDER"
Harris-Teeter Inc.,072036952066,270.0,11.3,5.22,1.7,44.35,"HARRIS TEETER, FRESH FOODS MARKET, THREE CHEESE & SPINACH RAVIOLI"
Harris-Teeter Inc.,072036952134,282.0,10.0,4.55,2.7,51.82,"HARRIS TEETER, FRESH FOODS MARKET, PORTOBELLO MUSHROOM & CHEESE TORTELLONI"
Harris-Teeter Inc.,072036952097,296.0,12.17,5.22,2.6,48.7,"HARRIS TEETER, FRESH FOODS MARKET, SIX CHEESE TORTELLINI"
Harris-Teeter Inc.,072036952240,296.0,12.17,5.22,2.6,48.7,"HARRIS TEETER, FRESH FOODS MARKET, TRICOLOR SIX CHEESE TORTELLINI"
Harris-Teeter Inc.,072036955210,98.0,2.04,6.94,0.4,4.08,"FRESH FOODS MARKET, CHARLESTON SHE CRAB SOUP"
Harris-Teeter Inc.,072036951946,69.0,7.35,0.82,2.9,8.98,"HARRIS TEETER, FRESH FOODS MARKET, CHICKEN CHILI & BEANS"
Harris-Teeter Inc.,072036951694,49.0,4.08,0.82,0.4,5.71,"FRESH FOODS MARKET, CHICKEN NOODLE SOUP"
"UTZ Quality Foods, Inc.",705845015201,518.0,7.06,25.88,2.4,61.18,"CALIFORNIA CHIPS, SEA SALTED POTATO CHIPS"
Harris-Teeter Inc.,072036881120,679.0,10.71,71.43,10.7,14.29,"HARRIS TEETER, FARMERS MARKET, PECAN HALVES"
"Golden Bison Co., LLC",884730003643,308.0,16.48,26.37,0.0,2.2,"HIGH PLAINS BISON, HICKORY SMOKED BISON SAUSAGE"
Dole Dried Fruit and Nut Co.,075700045002,325.0,2.5,0.0,7.5,75.0,DATES
Louisa Food Products Inc,077886001599,309.0,9.88,17.28,1.2,32.1,ORIGINAL BEEF TOASTED RAVIOLI
Diamond/Sunsweet Inc,070450080808,300.0,2.5,0.0,7.5,75.0,"SUNSWEET, PITTED DATES"
"Uncle Rays, LLC",614156060186,571.0,7.14,35.71,3.6,53.57,"UNCLE RAY'S, POTATO CHIPS"
"Moon Rabbit Foods, LLC",858687003001,375.0,4.17,4.17,0.0,87.5,"MOON RABBIT FOODS, BROWNIE MIX"
Harris-Teeter Inc.,072036952103,300.0,13.64,6.36,3.6,47.27,"FRESH FOODS MARKET, TORTELLONI WITH ITALIAN SAUSAGE"
"John B. Sanfilippo & Son, Inc.",070690699013,571.0,25.0,50.0,7.1,17.86,"FISHER, ROASTED SALTED PARTY PEANUTS"
KIND Inc.,602652171833,448.0,10.34,10.34,10.3,79.31,"KIND, 100% HEALTHY WHOLE GRAINS, DARK CHOCOLATE & CRANBERRY CLUSTERS"
Aldi-Benner Company,041498137816,32.0,0.0,0.0,0.0,6.45,"CASA MAMITA, PICANTE SAUCE"
"Mazapan De La Rosa, S.A. De Cv",724869002295,500.0,21.43,26.19,4.8,45.24,"DE LA ROSA, JAPANESE COCKTAIL PEANUTS"
Demet's Candy Company,872181000724,464.0,7.14,17.86,0.0,71.43,"FLIPZ, WHITE FUDGE COVERED MINI PRETZELS"
"Family Food Distributors, Inc.",853394001838,244.0,5.11,2.89,1.1,51.11,"MAMA TERE, DRIED YELLOW CORN"
AS DE OROZ,822325000370,125.0,22.22,0.0,44.4,63.89,FRIJOL NEGRO SMALL BLACK BEANS
C.A. Promesa,739907002069,367.0,6.67,1.67,6.7,80.0,PRE-COOKED YELLOW CORN MEAL
Jfe Shoji Trade America Inc.,071140302071,113.0,15.49,4.93,0.7,1.41,"GEISHA, MAQUEREAU A LA SAUCE TOMATE"
Hanover Foods Corporation,028800274322,54.0,3.75,1.88,0.4,5.83,CHICKEN NOODLE SOUP
UNCLE RAY'S,614156060100,500.0,3.57,25.0,3.6,67.86,PUFFERS
"Supervalu, Inc.",041130307942,356.0,6.67,0.0,2.2,80.0,ENRICHED LONG GRAIN WHITE RICE
"Supervalu, Inc.",041130341120,286.0,0.0,0.0,0.0,57.14,"SHOP 'N SAVE, AU JUS GRAVY MIX"
"Schnuck Markets, Inc.",041318190793,333.0,0.0,8.33,0.0,50.0,"SCHNUCKS, BROWN GRAVY MIX"
"C.H. Guenther & Son, Inc.",041149011502,333.0,16.67,10.83,0.0,66.67,"WILLIAMS, BROWN GRAVY MIX"
"Fischer & Wieser Specialty Foods, Inc.",096906008264,50.0,0.83,2.5,0.8,5.83,ORGANC PASTA SAUCE
H E Butt Grocery Company,041220846443,75.0,1.67,5.83,1.7,4.17,"CENTRAL MARKET, PUTTANESCA SAUCE"
Saor S.Rl.,033157000104,152.0,8.8,8.8,1.6,8.8,AMATIRCIANA SAUCE
Saor S.Rl.,033157000036,80.0,1.6,3.6,2.4,9.6,MARINARA SUACE
H E Butt Grocery Company,041220987283,40.0,1.77,0.88,1.8,6.19,"H-E-B, GARLIC LOVERS PASTA SAUCE"
H E Butt Grocery Company,041220964420,117.0,1.67,11.67,0.0,3.33,"H-E-B, QUESO FREDO, PASTA SAUCE"
H E Butt Grocery Company,041220964444,117.0,1.67,10.0,0.0,5.0,"H-E-B, CREAM, TOMATOES & CAJUN SPICES"
White Rose Tea Inc.,011196720719,286.0,7.14,10.0,1.4,40.0,BUTTERMILK ROUND WAFFLES
FIELD ROAST,6536865636565,272.0,25.0,13.04,4.3,13.04,"FIELD ROAST, VEGETARIAN GRAIN MEAT SAUSAGES, MEXICAN CHIPOTLE"
Balduccis Chicago,853082002024,88.0,4.8,5.6,0.8,6.4,"MAMA MARCHETTI'S, BOLOGNESE SAUCE"
"Whole Foods Market, Inc.",099482439071,605.0,7.89,44.74,10.5,44.74,DARK CHOCOLATE
Harris-Teeter Inc.,072036590473,321.0,21.43,25.0,0.0,3.57,MOZZARELLA CHEESE - WHOLE MILK
Walkers Shortbread Ltd.,039047015401,517.0,6.9,31.03,3.4,58.62,"WALKERS, FESTIVE SHAPES ASSORTED SHORTBREAD, PURE BUTTER"
PB CRAVE,8563368359354,562.0,18.75,43.75,6.2,34.38,"PB CRAVE, RAZZLE DAZZLE, PEANUT BUTTER"
"John B. Sanfilippo & Son, Inc.",070690271325,545.0,13.64,31.82,4.5,54.55,ICE CREAM
Herdez S.A.,072878283366,240.0,4.0,2.0,4.0,44.0,TORTILLAS CORN SOFT TACO SIZE
WHOKNEW,816120011112,417.0,5.56,16.67,8.3,66.67,SMART COOKIES
"Flowers Foods, Inc.",072250064903,286.0,10.2,7.14,2.0,48.98,MILLION DOLLAR WHITE BREAD
"Flowers Foods, Inc.",072250065306,271.0,9.41,4.12,2.4,51.76,"COBBLESTONE BREAD CO., CORN DUSTED KAISER ROLLS"
"Flowers Foods, Inc.",072250065405,256.0,10.0,2.78,4.4,51.11,"COBBLESTONE BREAD CO, WHEAT SUB ROLLS"
"Flowers Foods, Inc.",072250020961,256.0,10.0,2.22,2.2,51.11,"COBBLESTONE BREAD CO, WHITE SUB ROLLS"
Aldi-Benner Company,041498154332,400.0,4.0,8.0,4.0,76.0,"MILLVILLE, PASTRY CRISPS, STRAWBERRY"
"Lightlife Foods, Inc.",043454464509,202.0,19.05,5.95,7.1,16.67,"LIGHTLIFE, ORGANIC THREE GRAINS TEMPEH"
Harris-Teeter Inc.,072036980205,571.0,17.86,46.43,3.6,28.57,"HARRIS TEETER, SALTED CASHEW HALVES"
Harris-Teeter Inc.,072036339942,536.0,21.43,42.86,7.1,28.57,"HARRIS TEETER, PARTY PEANUTS, HONEY"
Harris-Teeter Inc.,072036580603,500.0,33.33,44.44,0.0,5.56,THICK CUT FULLY COOKED BACON
Harris-Teeter Inc.,072036760494,32.0,0.0,0.0,3.2,6.45,"HT TRADERS, MARINATED PEPPERONCINI"
Harris-Teeter Inc.,072036985224,786.0,0.0,85.71,0.0,0.0,"HARRIS TEETER, REAL MAYONNAISE"
Harris-Teeter Inc.,072036412003,91.0,6.06,0.0,3.0,18.18,"HARRIS TEETER, TOMATO PASTE"
Harris-Teeter Inc.,072036429933,324.0,21.62,1.35,24.3,54.05,"HARRIS TEETER, SOUP MIX WITH HAM SEASONING PACKET"
"Delhaize America, Inc.",725439116107,625.0,25.0,50.0,6.2,21.88,CREAMY PEANUT BUTTER
"Delhaize America, Inc.",725439116114,625.0,25.0,50.0,6.2,21.88,"MY ESSENTIALS, CRUNCHY PEANUT BUTTER"
Harris-Teeter Inc.,072036984890,536.0,7.14,35.71,3.6,50.0,"HARRIS TEETER, POTATO CHIPS, BBQ"
Harris-Teeter Inc.,072036984876,500.0,7.14,28.57,3.6,57.14,"HARRIS TEETER, POTATO CHIPS, ORIGINAL"
Harris-Teeter Inc.,072036984906,536.0,7.14,35.71,3.6,50.0,"HARRIS TEETER, POTATO CHIPS, SOUR CREAM & ONION"
